Nome do Cliente,Faturamento do Cliente,Ramo de Atividade,Endereço do Cliente
Autoeletrica,12356.00,Serviços,"Travessa das Palmeiras, 555 - Jardim das Flores"
Mecanica Diesel,21042.00,Automotivo,"Rua Minas Gerais, 935 - Bela Vista"
Studio Junto,35506.00,Tecnologia,"Rua das Rosas, 532 - Jardim das Flores"
Mecanica Diesel - 2,15045.00,Automotivo,"Rua Dom Pedro, 883 - Centro"
Agro Show,25504.00,Distribuição,"Rua Goiás, 727 - Jardim das Flores"
Escritório Filé,19310.00,Jurídico,"Rua Dom Pedro, 915 - Centro"
Doutor Lincoln,28610.00,Saúde,"Rua das Rosas, 683 - Industrial"
Eletrica Auto,21404.00,Varejo,"Av. Tiradentes, 321 - Industrial"
Studio Separado,41115.00,Tecnologia,"Travessa das Palmeiras, 823 - Industrial"
Studio Junto de Novo,21719.00,Tecnologia,"Rua Amazonas, 192 - Boa Esperança"
Doutor Lincoln Jr,46773.00,Saúde,"Rua Goiás, 499 - Boa Esperança"
Cafezin,41474.00,Cafeteria,"Av. Tiradentes, 981 - Industrial"
Maria Rosa,19706.00,Moda,"Rua Minas Gerais, 134 - Centro"
Vida de cao,37024.00,Pet Shop,"Av. Brasil, 358 - Jardim das Flores"
Pernambucanas,7455.00,Varejo,"Rua Amazonas, 580 - Industrial"
Studiozin,29481.00,Tecnologia,"Rua das Rosas, 166 - Bela Vista"
Alianca,5820.00,Educação,"Av. Rio Branco, 733 - Centro"
Thivoly,30928.00,Alimentício,"Rua Dom Pedro, 735 - Centro"
Rosa Maria,26420.00,Moda,"Rua São Paulo, 119 - Industrial"
Construai,42999.00,Construção,"Rua Amazonas, 422 - Boa Esperança"
Lilcon Estetica,26027.00,Estética,"Travessa das Palmeiras, 240 - Bela Vista"
Lilcon Cuida,31647.00,Farmacêutico,"Av. Tiradentes, 697 - Bela Vista"
Rosa das Marias,7758.00,Moda,"Travessa das Palmeiras, 247 - Jardim das Flores"
Advogadozin,23459.00,Jurídico,"Av. Tiradentes, 335 - Boa Esperança"
Solta fácil,49704.00,Jurídico,"Rua São Paulo, 58 - Jardim das Flores"
Flor do norte,89227.00,Distribuição,"Rua Goiás, 244 - Jardim das Flores"
Mecanica do Ki Suco,34913.00,Automotivo,"Rua Minas Gerais, 563 - Jardim das Flores"
Alianca colegio,37025.00,Educação,"Travessa das Palmeiras, 839 - Jardim das Flores"
Resolve tudo,39594.00,Serviços,"Rua das Rosas, 21 - Industrial"
Resolve nada,27997.00,Serviços,"Travessa das Palmeiras, 858 - Jardim das Flores"
